step,n,nati,coppie,s_abs_mean,frac_s_pos,archi_concordi,segno_arco,torque,twn_su2pi,frac_twn_gt2pi,corr_sign_twn,corr_sign_nbz,s_firmata_mean
21,1334,510,117,0.7155480793855054,0.5172413793103449,0.4989983701076303,-0.002003259784739325,0.2907227068858653,0.42689504466520717,0.03523238380809595,-0.022723953075409836,0.032668184380398466,0.025221915387107687
22,1344,520,120,0.699389687156301,0.4799107142857143,0.5002010252286662,0.0004020504573323952,0.3060197959795262,0.43250037996314655,0.036458333333333336,-0.00813114678120303,-0.04242438599948911,-0.014506747254439527
23,1376,552,128,0.6969237874541486,0.4738372093023256,0.5001148385800209,0.00022967716004191607,0.3151736114394648,0.4282670571951099,0.034156976744186045,0.01993331704725885,0.02034709086836582,-0.0332948508003634
24,1407,583,136,0.6918222654467209,0.5266524520255863,0.49971657159258065,-0.0005668568148387329,0.3287920267454344,0.4255118883559482,0.03127221037668799,0.01967158374574824,0.041860079585160616,0.04192270676764088
25,1413,589,137,0.6914375750122456,0.4968152866242038,0.4996627730103608,-0.0006744539792784777,0.32631571379149954,0.43626022837358064,0.03043170559094126,0.010016332182110649,-0.03217940937282744,-0.00010191756009652406
26,1423,599,140,0.6873051261781336,0.48910751932536894,0.49953007855938586,-0.0009398428812282527,0.3279172400285192,0.44327515044472876,0.03302881236823612,-0.0035963195012854885,0.019294744320891906,-0.005650340243650572
27,1440,616,142,0.6782617697092237,0.5020833333333333,0.4996054632578692,-0.0007890734842615707,0.33469730401352604,0.44194253363285685,0.03194444444444444,0.018142273238542384,-0.0199919380686611,0.0010880569986295718
28,1445,621,142,0.6958447473243402,0.4934256055363322,0.500577437611632,0.0011548752232639213,0.33433125119821533,0.44377088792017916,0.02975778546712803,-0.019482129515344653,-0.010070931945418185,0.0024833949317903917
29,1448,624,142,0.6932006672350257,0.5006906077348067,0.5018362838206181,0.0036725676412360485,0.3296164681752951,0.4493134700918841,0.0324585635359116,-0.042689135948600736,-0.011607271029624278,-0.0015358194548500195
30,1458,634,144,0.6897077373254124,0.49794238683127573,0.49841490704613267,-0.00317018590773468,0.3315859762878513,0.44680235813301317,0.03155006858710562,0.02160088806363058,-0.038852843403274516,-0.0018064231647643835
31,1475,651,148,0.6792887220709142,0.4928813559322034,0.5008426261249955,0.0016852522499910358,0.35116556242368013,0.4455566303643884,0.03254237288135593,-0.007348447202520346,-0.00875243226728974,-0.007865635845183709
