# registro dello spostamento -- scritto MAN MANO
vecchio	nuovo	sha1_byte	byte	esito
csv/_seal_fork/_m2_old_cs.pkl	E:\soliton_archivio\csv\_seal_fork\_m2_old_cs.pkl	fda4786c15f077783c51dab81f32d8df29fa24a4	18042070	OK
csv/_seal_fork/_n1_off.pkl	E:\soliton_archivio\csv\_seal_fork\_n1_off.pkl	ceb840ea6286c846b15eb6a037e675f315c75f3f	18042070	OK
csv/_seal_fork/_n1_old.pkl	E:\soliton_archivio\csv\_seal_fork\_n1_old.pkl	26298f5fa7ebf84b0ef56870cf2dd132e8cc0ef1	18042070	OK
csv/_seal_fork/_n1_on.pkl	E:\soliton_archivio\csv\_seal_fork\_n1_on.pkl	0fb420916c9a7d27abe097dad5bfa55fc54095ea	17809346	OK
csv/_seal_fork/_p3_off.pkl	E:\soliton_archivio\csv\_seal_fork\_p3_off.pkl	ee0aa129a57266570fddf4532efad0ec9b2d50e1	17992145	OK
csv/_seal_fork/_p3_old.pkl	E:\soliton_archivio\csv\_seal_fork\_p3_old.pkl	7d78e3ac52510d647d4b2bfab71b1c5a3278aecb	17992103	OK
csv/_seal_fork/_p3_on.pkl	E:\soliton_archivio\csv\_seal_fork\_p3_on.pkl	f364beef589b5afe08c834276564d58559cb3e3b	18012657	OK
csv/_seal_fork/_q_post.pkl	E:\soliton_archivio\csv\_seal_fork\_q_post.pkl	d420a10d38df5303a207a3c64150f138ebfae981	20471778	OK
csv/_seal_fork/_s1_mem.pkl	E:\soliton_archivio\csv\_seal_fork\_s1_mem.pkl	09dd0af53adc1644d6965c70aaebe043b9bd1a5c	18042070	OK
csv/_seal_fork/_s1_off.pkl	E:\soliton_archivio\csv\_seal_fork\_s1_off.pkl	002ba0de35570a40b90d8da574a3e805c1461fc3	17959179	OK
csv/_seal_fork/_s1_off_base.pkl	E:\soliton_archivio\csv\_seal_fork\_s1_off_base.pkl	d74bdf01e82a3fe380845bc36f64ae36fbf0ee19	17894684	OK
csv/_seal_fork/_s1_old.pkl	E:\soliton_archivio\csv\_seal_fork\_s1_old.pkl	bcbc46022c569306e190c71b5476c694dea10c51	18056226	OK
csv/_seal_fork/_s1_old_base.pkl	E:\soliton_archivio\csv\_seal_fork\_s1_old_base.pkl	dc0b9f87f598859cd0e0751552bc39adb70c4455	18091146	OK
csv/_seal_fork/_s3b.pkl	E:\soliton_archivio\csv\_seal_fork\_s3b.pkl	60e6ead5bc8846aedb864ce8adc56a02216a5b59	17365678	OK
csv/_seal_fork/_st2_off.pkl	E:\soliton_archivio\csv\_seal_fork\_st2_off.pkl	9a342babe40003515e7cca22196aba0c05430d61	20732609	OK
csv/_seal_fork/_st2_old.pkl	E:\soliton_archivio\csv\_seal_fork\_st2_old.pkl	a25a5a72cef06137c541d7e1904c486406e2c26b	17992145	OK
csv/_seal_fork/_st2_on.pkl	E:\soliton_archivio\csv\_seal_fork\_st2_on.pkl	9a342babe40003515e7cca22196aba0c05430d61	20732609	OK
csv/_seal_fork/_t2_post.pkl	E:\soliton_archivio\csv\_seal_fork\_t2_post.pkl	d420a10d38df5303a207a3c64150f138ebfae981	20471778	OK
csv/_seal_fork/_v4b.pkl	E:\soliton_archivio\csv\_seal_fork\_v4b.pkl	c02d3e8c92fb6f406bcb19ee68e9ade69601dd5d	20512147	OK
csv/_seal_fork/_v8.pkl	E:\soliton_archivio\csv\_seal_fork\_v8.pkl	83e63ed33b788d21c66cc9f619d1f66ad3f65b2b	20490711	OK
