# blob simulatore (sha1 byte grezzi)=ab685eac
attributo,fisico,riga,funzione,tipo,flag
_psi_spinor,1,1729,_estendi_psi_spinor,CONCATENA,sempre
_psi_spinor,1,1731,_estendi_psi_spinor,diretto,sempre
_psi_spinor,1,1775,_eredita_spinore_figli,CONCATENA,sempre
_psi_spinor,1,3191,_passo_spinoriale,diretto,SPINORE_CORRETTO
_r3,0,5489,campo_spaziale,diretto,sempre
_r3_G,0,5489,campo_spaziale,diretto,sempre
_r_corrente,0,1475,__init__,diretto,sempre
_r_corrente,0,4306,step,diretto,FORK_SU2_MEM
_rep,1,1499,__init__,diretto,sempre
_rep,1,2478,_allaccia,CONCATENA,sempre
_rep,1,5182,mitosi,diretto,sempre
_rep,1,5186,mitosi,diretto,sempre
_rep,1,5356,mitosi,CONCATENA,sempre
_rep,1,5461,mitosi,CONCATENA,COPPIA_MIT
_rep_dte_assente,0,5173,mitosi,diretto,sempre
_rep_dte_fallback,0,5177,mitosi,diretto,sempre
_rep_guardia_salti,0,5198,mitosi,diretto,sempre
_rep_guardia_shape,0,5199,mitosi,diretto,sempre
_rep_guardia_tot,0,5196,mitosi,diretto,sempre
_rep_realloc,0,5181,mitosi,diretto,sempre
_rep_scarto_max,0,5190,mitosi,diretto,sempre
_rep_taupp_clamp,0,5184,mitosi,diretto,sempre
_rep_taupp_tot,0,5185,mitosi,diretto,sempre
_ritmo_chiamate,0,2536,ritmo,diretto,sempre
_ritmo_f_mediana_nulla,0,2577,ritmo,diretto,sempre
_ritmo_f_tutto_nullo,0,2575,ritmo,diretto,sempre
_ritmo_guard4pi_ko,0,2554,ritmo,diretto,CAMPO_SPINORIALE
_ritmo_guard4pi_shape,0,2555,ritmo,diretto,CAMPO_SPINORIALE
_ritmo_med_assente,0,2613,ritmo,diretto,sempre
_ritmo_med_identico,0,2619,ritmo,diretto,sempre
_ritmo_med_non_promosso,0,4293,step,diretto,sempre
_ritmo_med_sul_pavimento,0,2579,ritmo,diretto,sempre
_ritmo_sicurezza,0,2538,ritmo,diretto,sempre
_ritmo_sicurezza_shape,0,2539,ritmo,diretto,sempre
_ritmo_snap_identico,0,2561,ritmo,diretto,CAMPO_SPINORIALE
_sfb_amp_coppia,0,4418,step,diretto,SPINORE_VIVO
_sfb_amp_fb,0,4419,step,diretto,SPINORE_VIVO
_sfb_applicato,0,1893,_feedback_spinoriale_archi,diretto,sempre
_sfb_chiamate,0,1881,_feedback_spinoriale_archi,diretto,sempre
_sfb_lift_corto,0,1886,_feedback_spinoriale_archi,diretto,sempre
_sfb_lift_shape,0,1887,_feedback_spinoriale_archi,diretto,sempre
_sfb_mask_vuota,0,1891,_feedback_spinoriale_archi,diretto,sempre
_sfb_off,0,1883,_feedback_spinoriale_archi,diretto,SPIN_FEEDBACK
_sfb_rapporto_max,0,4420,step,diretto,SPINORE_VIVO
_sfb_rapporto_n,0,4422,step,diretto,SPINORE_VIVO
_sfb_rapporto_som,0,4421,step,diretto,SPINORE_VIVO
_sfondo_ko_con_archi,0,2934,_passo_spinoriale,diretto,sempre
_sfondo_ko_peq,0,2925,_passo_spinoriale,diretto,sempre
_sfondo_ko_rho,0,2926,_passo_spinoriale,diretto,sempre
_sfondo_ko_senza_archi,0,2935,_passo_spinoriale,diretto,sempre
_sfondo_ko_ultima_peq,0,2928,_passo_spinoriale,diretto,sempre
_sfondo_ko_ultima_rho,0,2927,_passo_spinoriale,diretto,sempre
_shat_prec,0,2237,circolazione_topologica,diretto,sempre
_sin2_vir,0,1500,__init__,diretto,sempre
_sin2_vir,0,5793,memoria_hebbiana_moto,diretto,ZETA_VIR
_smp_d,0,3651,_smp_apri,diretto,SCALA_MIN_PASSO
_smp_d,0,3689,_smp_chiudi,diretto,sempre
_smp_d0,0,3650,_smp_apri,diretto,SCALA_MIN_PASSO
_smp_d0,0,3688,_smp_chiudi,diretto,sempre
_spin_feedback_last,0,1875,_feedback_spinoriale_archi,diretto,sempre
_spin_feedback_last,0,1904,_feedback_spinoriale_archi,diretto,sempre
_spinor_lift,1,1451,__init__,diretto,sempre
_spinor_lift,1,1634,_aggiorna_lift_spinoriale,diretto,sempre
_spinor_lift,1,1780,_eredita_spinore_figli,CONCATENA,sempre
_spinor_lift,1,3192,_passo_spinoriale,diretto,SPINORE_CORRETTO
_taup_Inodi_chiamate,0,4956,step,diretto,TAU_LOCALI
_taup_Inodi_fallback,0,4955,step,diretto,TAU_LOCALI
_taup_causale_scatti,0,5003,step,diretto,TAU_LOCALI
_taup_causale_su_degenere,0,5009,step,diretto,TAU_LOCALI
_taup_causale_tot,0,5004,step,diretto,TAU_LOCALI
_taup_cfl_max,0,5017,step,diretto,TAU_LOCALI
_taup_cs_clamp,0,4984,step,diretto,TAU_LOCALI
_taup_cs_clamp_tot,0,4985,step,diretto,TAU_LOCALI
_taup_peq_deg_passi,0,4995,step,diretto,TAU_LOCALI
_taup_peq_deg_ultimo,0,4996,step,diretto,TAU_LOCALI
_taup_peq_degenere,0,4990,step,diretto,TAU_LOCALI
_traccia_coes_log,0,3486,_traccia_coesione,diretto,sempre
_traccia_d0_log,0,3400,_traccia_d0,diretto,sempre
_traccia_vd_log,0,3445,_traccia_vd,diretto,sempre
_ver_codice_cache,0,3863,_versione_codice,diretto,sempre
_xi_chiamate,0,2695,_passo_spinoriale,diretto,RUMORE_COLORATO
_xi_esteso,0,2706,_passo_spinoriale,diretto,RUMORE_COLORATO
_xi_nuovi,0,2707,_passo_spinoriale,diretto,RUMORE_COLORATO
_xi_rumore,0,2718,_passo_spinoriale,diretto,RUMORE_COLORATO
conc_archi,0,1524,__init__,diretto,sempre
conc_archi,0,5342,mitosi,diretto,sempre
conc_nodi,0,1523,__init__,diretto,sempre
coppie_nate,0,1509,__init__,diretto,sempre
coppie_nate,0,5466,mitosi,aumentato,COPPIA_MIT
d,1,1493,__init__,diretto,sempre
d,1,2474,_allaccia,CONCATENA,sempre
d,1,4906,step,diretto,VERLET
d,1,4917,step,diretto,SCALA_MIN_PASSO
d,1,4919,step,diretto,SCALA_MIN
d,1,4921,step,diretto,SCALA_MIN
d,1,4928,step,diretto,SCALA_MIN_PASSO
d,1,5346,mitosi,CONCATENA,sempre
d,1,5449,mitosi,CONCATENA,COPPIA_MIT
d0,1,1493,__init__,diretto,sempre
d0,1,2474,_allaccia,CONCATENA,sempre
d0,1,3698,_smp_chiudi,diretto,sempre
d0,1,5019,step,aumentato,TAU_LOCALI
d0,1,5030,step,aumentato,GUSCIO_MORBIDO
d0,1,5034,step,aumentato,TAU_LOCALI
d0,1,5038,step,diretto,sempre
d0,1,5214,mitosi,diretto,sempre
d0,1,5217,mitosi,diretto,sempre
d0,1,5349,mitosi,CONCATENA,sempre
d0,1,5452,mitosi,CONCATENA,COPPIA_MIT
d0,1,5672,memoria_hebbiana_moto,aumentato,MEM_MOTO
d0,1,5675,memoria_hebbiana_moto,diretto,sempre
d0,1,5819,memoria_hebbiana_moto,aumentato,VIRIALE
d0,1,5825,memoria_hebbiana_moto,aumentato,VIRIALE
d0,1,5828,memoria_hebbiana_moto,diretto,GRAV_BIFASE
d0,1,5848,memoria_hebbiana_moto,aumentato,K_FRANGE
d0,1,5851,memoria_hebbiana_moto,diretto,K_FRANGE
d0,1,5999,memoria_hebbiana_moto,aumentato,COES_ADIM
d0,1,6001,memoria_hebbiana_moto,aumentato,COES_ADIM
d0,1,6005,memoria_hebbiana_moto,diretto,sempre
d0,1,6046,memoria_hebbiana_moto,diretto,sempre
eta,0,1443,__init__,diretto,sempre
eta,0,2330,semina,CONCATENA,sempre
eta,0,4325,step,aumentato,sempre
eta,0,5273,mitosi,CONCATENA,sempre
eta,0,5418,mitosi,CONCATENA,COPPIA_MIT
extra,0,186,__init__,diretto,sempre
i,1,1492,__init__,diretto,sempre
i,1,2470,_allaccia,CONCATENA,sempre
